input_text,target_text
"""为讨论近期项目进展，下学期的第十二周开会，望相关人员做好准备。""","['{""month"":""none"",""week"":""12"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""因家中突发状况需处理，明天请假。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""近期学习任务繁重，老师通知下个月第二个星期周三考试，大家需认真备考。""","['{""month"":""1"",""week"":""2"",""weekday"":""3"",""day"":""none"",""term"":""none""}']"
"""教学任务安排，下学期的第8周检查各项教学成果与资料。""","['{""month"":""none"",""week"":""8"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""公司有重要事务需讨论，本月第一周周日开会，望大家提前做好准备。""","['{""month"":""0"",""week"":""1"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""学校教学安排紧凑，按照计划，下学期的最后一周考试。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""在那所熟悉的校园里，前天上课，知识的火花在课堂绽放。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-2"",""term"":""none""}']"
"""同学们都在紧张备考，而我想着明天考试，心里有些忐忑。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""学校课程安排有调整，原本空闲的下个月第三周周一上课。""","['{""month"":""1"",""week"":""3"",""weekday"":""1"",""day"":""none"",""term"":""none""}']"
"""因家中突发状况需处理，昨天请假，望理解。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""因家中突发状况需处理，昨天请假，望你知晓。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""在课程安排下，学生需在原本休息的周六去学校上课，上个月亦是如此。""","['{""month"":""-1"",""week"":""none"",""weekday"":""6"",""day"":""none"",""term"":""none""}']"
"""因家中突发状况，昨天请假，望领导理解。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""老师宣布了考试安排，本月第一个星期周一考试，大家要提前做好准备。""","['{""month"":""0"",""week"":""1"",""weekday"":""1"",""day"":""none"",""term"":""none""}']"
"""学习进度推进，学校安排本学期的第十四周考试，大家需做好准备。""","['{""month"":""none"",""week"":""14"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""近期学习成果待检验，同学怀揣紧张与期待，今天考试。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""老师通知，为检验学习成果，本月第一个星期周五考试，大家做好准备。""","['{""month"":""0"",""week"":""1"",""weekday"":""5"",""day"":""none"",""term"":""none""}']"
"""在紧张的学习日程里，今天上课又有了不少新的收获与启发。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""因家中有事需处理，上个月第一个星期周六请假。""","['{""month"":""-1"",""week"":""1"",""weekday"":""6"",""day"":""none"",""term"":""none""}']"
"""学校教学安排确定，本学期的第3周上课，大家提前做好准备。""","['{""month"":""none"",""week"":""3"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""公司业务进展讨论关键时期，昨天开会，旨在研讨下一步策略。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""为推进项目进展，经讨论决定本学期的第十一周开会。""","['{""month"":""none"",""week"":""11"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""领导安排了重要事务，明天开会，大家提前做好准备。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""因个人特殊情况，需在本学期的第8周请假。""","['{""month"":""none"",""week"":""8"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""近期身体不适去医院预约了检查，后天检查。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""学校工作安排需讨论，下学期的第8周开会，望相关人员做好准备。""","['{""month"":""none"",""week"":""8"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""学校课程安排有序，上学期的第3周考试，同学们都积极备考。""","['{""month"":""none"",""week"":""3"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""在学校的常规管理安排中，上学期的第二周检查有序开展。""","['{""month"":""none"",""week"":""2"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""同学们都很紧张，为了好成绩做足准备，今天考试。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""在校园学习氛围中，今天上课的内容丰富又有趣。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""在学校的课程安排里，前天上课，同学们都认真听讲。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-2"",""term"":""none""}']"
"""学校教学安排中，对某项内容的检查定在下学期的第3周。""","['{""month"":""none"",""week"":""3"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""为讨论项目进展情况，学校决定下学期的第15周开会。""","['{""month"":""none"",""week"":""15"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""学习计划安排妥当，后天上课，要提前做好准备应对知识挑战。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""在课程安排里，为保证学习进度，本月第二个星期周三上课。""","['{""month"":""0"",""week"":""2"",""weekday"":""3"",""day"":""none"",""term"":""none""}']"
"""学校教学安排紧凑，上学期的第十四周考试，同学们都在积极备考。""","['{""month"":""none"",""week"":""14"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校教学安排已定，根据课程进度，下学期的第五周考试。""","['{""month"":""none"",""week"":""5"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""学校通知学生，本月第一个星期周六考试，大家需提前做好充分准备。""","['{""month"":""0"",""week"":""1"",""weekday"":""6"",""day"":""none"",""term"":""none""}']"
"""学校课程安排里，上学期的第4周上课，学生们需做好学习准备。""","['{""month"":""none"",""week"":""4"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校教学日程安排紧凑，上学期的最后一周上课，大家都在全力冲刺。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""公司近期工作安排需沟通，下个月第三个星期星期一开会讨论相关事宜。""","['{""month"":""1"",""week"":""3"",""weekday"":""1"",""day"":""none"",""term"":""none""}']"
"""工作安排较紧，考虑个人情况，特申请下个月第二个星期周天请假。""","['{""month"":""1"",""week"":""2"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""在学校的学习进程中，本学期的最后一周考试，大家都在紧张备考。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""公司安排了定期健康检查，上个月第一周周日检查这一安排让大家有所准备。""","['{""month"":""-1"",""week"":""1"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""因家中突发状况，需在上学期的最后一周请假处理相关事宜。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校教学安排已定，下学期课程结束后，第十一周进行统一考试。""","['{""month"":""none"",""week"":""11"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""临近重要学习检测，同学们都在紧张备考，后天考试。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""在学校的学习安排里，迎来上学期的最后一周上课。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""身体有些不适去医院，前天检查，结果还没出来心里有点忐忑。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-2"",""term"":""none""}']"
"""学校工作安排有序，下学期的最后一周开会，讨论学期总结事宜。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""项目进度需商讨，团队成员集中交流，明天开会。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""领导安排了一项重要任务，今天检查相关工作的落实情况。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""因家中突发状况，上个月第二周周日请假，望领导批准此次申请。""","['{""month"":""-1"",""week"":""2"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""学习许久迎来检验，明天考试，愿你发挥出色取得好成绩。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""根据课程安排，学生需在规定的周次里，下个月第二个星期周一上课。""","['{""month"":""1"",""week"":""2"",""weekday"":""1"",""day"":""none"",""term"":""none""}']"
"""近期身体状况不佳，医生安排后天检查，希望一切正常。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""课程学习进度需把控，下学期的第十五周检查各项学习成果。""","['{""month"":""none"",""week"":""15"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""学校课程安排有变，原本的活动取消，下个月第一个星期星期五上课。""","['{""month"":""1"",""week"":""1"",""weekday"":""5"",""day"":""none"",""term"":""none""}']"
"""班级组织了重要科目测验，前天考试，大家都认真作答。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-2"",""term"":""none""}']"
"""因家中突发状况需处理，上个月第二周星期二请假。""","['{""month"":""-1"",""week"":""2"",""weekday"":""2"",""day"":""none"",""term"":""none""}']"
"""因家中有事需处理，我要按流程申请，后天请假。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""公司组织安全检查，计划下个月第三周星期六进行该项工作。""","['{""month"":""1"",""week"":""3"",""weekday"":""6"",""day"":""none"",""term"":""none""}']"
"""学校临时调整课程安排，原本休息的上个月第二周周六上课。""","['{""month"":""-1"",""week"":""2"",""weekday"":""6"",""day"":""none"",""term"":""none""}']"
"""公司安排了项目进度相关的检查，今天检查。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""近期工作安排紧凑，需集中讨论，下个月第一周星期日开会。""","['{""month"":""1"",""week"":""1"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""老师通知，咱们参加的这场重要测试，下个月第三个星期星期五考试。""","['{""month"":""1"",""week"":""3"",""weekday"":""5"",""day"":""none"",""term"":""none""}']"
"""本学期课程安排紧凑，老师提醒大家，上学期的第14周考试需好好准备。""","['{""month"":""none"",""week"":""14"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校教学安排中，本学期的第15周考试，大家需做好复习准备。""","['{""month"":""none"",""week"":""15"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""同学提醒我后天考试，得赶紧复习，真担心考不好。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""在一场重要的学业评估中，前天考试，考生们都认真作答。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-2"",""term"":""none""}']"
"""公司计划安排下学期的第11周开会，商讨业务拓展相关事宜。""","['{""month"":""none"",""week"":""11"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""因家中突发状况需处理，昨天请假，望理解。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""公司安排了重要项目相关事宜，今天检查各项工作落实情况。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""医生提醒需做好准备，后天检查各项指标以评估身体状况。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""去医院做全面身体检查，昨天检查结果还未完全出来。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""公司近期业务推进需交流，后天开会讨论相关事宜。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""2"",""term"":""none""}']"
"""在项目收尾阶段，本学期的最后一周开会，商讨后续工作安排。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""学校课程安排紧凑，学生们紧张备考，上学期的第十二周考试。""","['{""month"":""none"",""week"":""12"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校组织了教学常规相关的上学期的第六周检查。""","['{""month"":""none"",""week"":""6"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校组织上学期的第一周检查，以了解学生学习与生活状况。""","['{""month"":""none"",""week"":""1"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校组织了一场重要测试，上个月第二周周天考试，不少同学为此精心准备。""","['{""month"":""-1"",""week"":""2"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""在学校的常规管理中，开展了上学期的第六周检查。""","['{""month"":""none"",""week"":""6"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""近期学习安排紧凑，老师通知明天上课，大家提前做好准备。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""上级临时通知，明天有重要项目推进情况检查。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""公司安排卫生检查，其中上个月第一周周五检查这一安排仍要严格执行。""","['{""month"":""-1"",""week"":""1"",""weekday"":""5"",""day"":""none"",""term"":""none""}']"
"""学校教学常规安排，本学期的第三周检查各项工作落实情况。""","['{""month"":""none"",""week"":""3"",""weekday"":""none"",""day"":""none"",""term"":""0""}']"
"""上级领导将到单位进行工作情况审查，明天检查。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""临近学期结束，同学们在这下学期的最后一周上课，格外珍惜时光。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""老师通知课程安排，明天上课。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""学校公布课程安排，下学期的第九周考试，学生们需提前准备。""","['{""month"":""none"",""week"":""9"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""领导通知，各部门准备好相关资料，明天检查。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""1"",""term"":""none""}']"
"""同学们都在紧张备考，而我，今天考试。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""公司业务推进期间，上个月第一个星期星期一开会，探讨项目进展与后续计划。""","['{""month"":""-1"",""week"":""1"",""weekday"":""1"",""day"":""none"",""term"":""none""}']"
"""公司安排了重要项目相关的检查，今天检查，大家需做好准备。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""0"",""term"":""none""}']"
"""公司安排设备状态相关事宜，下个月第一个星期周日检查。""","['{""month"":""1"",""week"":""1"",""weekday"":""7"",""day"":""none"",""term"":""none""}']"
"""学校教学安排调整，本月第三周星期六上课，大家提前做好准备。""","['{""month"":""0"",""week"":""3"",""weekday"":""6"",""day"":""none"",""term"":""none""}']"
"""公司近期有规范整顿行动，本月第一个星期星期四检查各部门落实情况。""","['{""month"":""0"",""week"":""1"",""weekday"":""4"",""day"":""none"",""term"":""none""}']"
"""因项目进展需要，安排上个月第二周星期五对相关设备进行全面检查。""","['{""month"":""-1"",""week"":""2"",""weekday"":""5"",""day"":""none"",""term"":""none""}']"
"""新学期课程安排确定，上学期的第1周上课，同学们需提前做好准备。""","['{""month"":""none"",""week"":""1"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""学校教学常规工作开展期间，进行了上学期的第4周检查。""","['{""month"":""none"",""week"":""4"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""课程学习进度安排下，下学期的第十二周考试，大家需提前准备。""","['{""month"":""none"",""week"":""12"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""在学期教学任务推进中，上学期的第16周开会。""","['{""month"":""none"",""week"":""16"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""去医院进行全面身体状况评估，昨天检查结果还未出来。""","['{""month"":""none"",""week"":""none"",""weekday"":""none"",""day"":""-1"",""term"":""none""}']"
"""学校组织相关人员开展上学期的第十六周检查工作。""","['{""month"":""none"",""week"":""16"",""weekday"":""none"",""day"":""none"",""term"":""-1""}']"
"""课程安排有调整，原本正常的日子里，本月第一周周三上课。""","['{""month"":""0"",""week"":""1"",""weekday"":""3"",""day"":""none"",""term"":""none""}']"
"""因家中突发状况需处理，下个月第一周周一请假。""","['{""month"":""1"",""week"":""1"",""weekday"":""1"",""day"":""none"",""term"":""none""}']"
"""因家中突发状况需处理，下学期的最后一周请假。""","['{""month"":""none"",""week"":""-1"",""weekday"":""none"",""day"":""none"",""term"":""1""}']"
"""公司工作安排常规会议，上个月第三周周三开会，讨论业务进展等事宜。""","['{""month"":""-1"",""week"":""3"",""weekday"":""3"",""day"":""none"",""term"":""none""}']"
