input_text,target_text
"""在课程安排紧凑的学期里，上学期的最后一周考试，大家都很紧张。 ""","{""month"": ""none"", ""week"": ""none"", ""weekday"": ""none"", ""day"": ""none"", ""term"": ""-1""}"
"""室友告知课程安排，说后天下午有课，得提前做好准备。 ""","{""month"": ""0"", ""week"": ""none"", ""weekday"": ""4"", ""day"": ""2"", ""term"": ""none""}"
"""学校教学安排紧凑，上学期的最后一周考试，大家都在紧张备考。 ""","{""month"": ""none"", ""week"": ""none"", ""weekday"": ""none"", ""day"": ""none"", ""term"": ""-1""}"
"""近期课程安排较满，昨天下午有课，得提前做好准备去上课。 ""","{""month"": ""0"", ""week"": ""none"", ""weekday"": ""1"", ""day"": ""-1"", ""term"": ""none""}"
"""公司有重要事务待商议，上个月周二开会，以确保工作顺利推进。 ""","{""month"": ""-1"", ""week"": ""none"", ""weekday"": ""2"", ""day"": ""none"", ""term"": ""none""}"
"""在课程安排里，原本昨天下午的学习时段是有课的。 ""","{""month"": ""0"", ""week"": ""none"", ""weekday"": ""1"", ""day"": ""-1"", ""term"": ""none""}"
"""公司近期工作安排密集，上个月周五开会探讨项目推进事宜。 ""","{""month"": ""-1"", ""week"": ""none"", ""weekday"": ""5"", ""day"": ""none"", ""term"": ""none""}"
"""学校教学安排有序，下学期的最后一周考试，大家需提前做好准备。 ""","{""month"": ""none"", ""week"": ""none"", ""weekday"": ""none"", ""day"": ""none"", ""term"": ""1""}"
"""公司近期工作安排需协调，下个月星期日开会，大家提前做好准备。 ""","{""month"": ""1"", ""week"": ""none"", ""weekday"": ""7"", ""day"": ""none"", ""term"": ""none""}"
"""公司有项目进度需讨论，上个月周三开会，各部门负责人参加。 ""","{""month"": ""-1"", ""week"": ""none"", ""weekday"": ""3"", ""day"": ""none"", ""term"": ""none""}"
"""公司安排重要事务研讨，本月周日开会。 ""","{""month"": ""0"", ""week"": ""none"", ""weekday"": ""7"", ""day"": ""none"", ""term"": ""none""}"
"""公司近期工作安排紧凑，上个月星期六开会布置重要任务。 ""","{""month"": ""-1"", ""week"": ""none"", ""weekday"": ""6"", ""day"": ""none"", ""term"": ""none""}"
"""公司有定期会议安排，上个月周一开会讨论项目进展相关事宜。 ""","{""month"": ""-1"", ""week"": ""none"", ""weekday"": ""1"", ""day"": ""none"", ""term"": ""none""}"
"""公司安排重要事务讨论，本月周四开会，望大家提前做好准备。 ""","{""month"": ""0"", ""week"": ""none"", ""weekday"": ""4"", ""day"": ""none"", ""term"": ""none""}"
